Category,Symptom
Respiratory Symptoms,Angiogram pulmonary
Uncategorized,Amylase increased
Infectious Symptoms,Hepatitis
Infectious Symptoms,Hepatitis A antibody
Uncategorized,Steroid therapy
Uncategorized,Adrenocortical insufficiency acute
Uncategorized,Microscopy
Uncategorized,Pityriasis
Dermatologic Symptoms,Injection site granuloma
Cardiovascular Findings,ECG signs of myocardial infarction
Uncategorized,Cardiospasm
Dermatologic Symptoms,Alopecia areata
Uncategorized,Airway burns
Uncategorized,Pelvic floor dysfunction
ENT Symptoms,Inner ear inflammation
Cardiovascular Findings,Radial pulse increased
Cardiovascular Findings,Labile hypertension
Dermatologic Symptoms,Skin injury
Uncategorized,Delusional perception
Dermatologic Symptoms,Neoplasm skin
Uncategorized,Auditory nerve disorder
Uncategorized,Febrile convulsion
Uncategorized,Biopsy uterus
Procedural and Device-Related Issues,Ultrasound uterus
Allergic and Immune Reactions,Contrast media reaction
Uncategorized,Anaemia macrocytic
Uncategorized,Bandaemia
Laboratory Findings,Blood beta-D-glucan positive
Laboratory Findings,Fungal test negative
Uncategorized,Pneumonitis chemical
Respiratory Symptoms,Pulmonary pneumatocele
Uncategorized,Radiotherapy
Laboratory Findings,Clostridium test negative
Uncategorized,Neuropsychiatric symptoms
Uncategorized,Incorrect product administration duration
Uncategorized,Mania
Uncategorized,Psychotic disorder
Uncategorized,Colitis ischaemic
Uncategorized,Portal vein thrombosis
Infectious Symptoms,Peptostreptococcus infection
Uncategorized,Transient lingual papillitis
Uncategorized,Subdural haematoma
Infectious Symptoms,SARS-CoV-2 RNA
Uncategorized,Brain stem infarction
Neurological Symptoms,Peripheral sensorimotor neuropathy
Infectious Symptoms,Culture stool positive
Uncategorized,Placental calcification
Uncategorized,Placental disorder
Uncategorized,Thyroglossal cyst
Dermatologic Symptoms,Androgenetic alopecia
Procedural and Device-Related Issues,Magnetic resonance imaging thoracic
Uncategorized,Impaired quality of life
Uncategorized,Gastrointestinal hypermotility
Uncategorized,Manufacturing issue
Laboratory Findings,Blood culture positive
Uncategorized,Corneal degeneration
Uncategorized,Omental infarction
Uncategorized,Thrombophlebitis
Uncategorized,Personality change
Dermatologic Symptoms,Hand dermatitis
Uncategorized,Brain midline shift
Uncategorized,Subdural haematoma evacuation
Uncategorized,Splint application
Uncategorized,Inappropriate release of product for distribution
Uncategorized,Defect conduction intraventricular
Uncategorized,Haemoconcentration
Uncategorized,Inguinal hernia repair
Infectious Symptoms,Epstein-Barr virus antibody positive
Infectious Symptoms,Epstein-Barr virus antigen positive
Infectious Symptoms,Hepatitis A antibody negative
Infectious Symptoms,Hepatitis B core antibody negative
Infectious Symptoms,Hepatitis B surface antigen negative
ENT Symptoms,Ear irrigation
Uncategorized,Polymyositis
Uncategorized,Glaucoma
Dermatologic Symptoms,Injection site panniculitis
Allergic and Immune Reactions,Drug reaction with eosinophilia and systemic symptoms
Uncategorized,Eosinophil count
Uncategorized,Immunosuppression
Uncategorized,Serum ferritin
Uncategorized,Pneumothorax
Uncategorized,Multiple organ dysfunction syndrome
Uncategorized,Cranial nerve injury
Respiratory Symptoms,Sputum increased
Musculoskeletal Symptoms,Uterine pain
Laboratory Findings,Specific gravity urine
Uncategorized,Intercepted medication error
Allergic and Immune Reactions,Vaccination site hypersensitivity
Infectious Symptoms,Infection parasitic
Dermatologic Symptoms,Vulvovaginal rash
Uncategorized,Mononeuropathy
Cardiovascular Findings,Cardiovascular disorder
Cardiovascular Findings,Acute left ventricular failure
Cardiovascular Findings,Cardiac failure acute
Cardiovascular Findings,Left ventricular failure
Uncategorized,Benign prostatic hyperplasia
Cardiovascular Findings,Essential hypertension
Uncategorized,Mesenteric neoplasm
Uncategorized,Aortic stenosis
Uncategorized,Carotid artery stenosis
Uncategorized,Retinal artery thrombosis
Cardiovascular Findings,Systolic hypertension
Neurological Symptoms,Bladder spasm
Uncategorized,Delivery
Uncategorized,Child maltreatment syndrome
Dermatologic Symptoms,Injection site fibrosis
Uncategorized,Near death experience
Dermatologic Symptoms,Haemangioma of skin
Uncategorized,Ischaemia
Uncategorized,Scleroderma
Dermatologic Symptoms,Injection site exfoliation
Uncategorized,Intrauterine contraception
Laboratory Findings,Renal function test abnormal
Uncategorized,Specific gravity body fluid
Uncategorized,Excessive granulation tissue
Uncategorized,Positron emission tomogram normal
Uncategorized,Globulins decreased
Laboratory Findings,Red blood cell schistocytes present
Uncategorized,Complement factor C4 decreased
Cardiovascular Findings,Acute cardiac event
Neurological Symptoms,Thunderclap headache
Cardiovascular Findings,Electrocardiogram ST-T segment abnormal
Procedural and Device-Related Issues,Skull X-ray
Uncategorized,Appendix disorder
Uncategorized,Heat oedema
Genitourinary Symptoms,Lower urinary tract symptoms
Laboratory Findings,Influenza A virus test positive
Uncategorized,Menometrorrhagia
Uncategorized,Cast application
Uncategorized,Conduction disorder
Uncategorized,Nodal rhythm
ENT Symptoms,Sinus arrest
Dermatologic Symptoms,Interstitial granulomatous dermatitis
Ophthalmologic Symptoms,Eye infection bacterial
Laboratory Findings,Haemoglobin urine present
Neurological Symptoms,Seizure cluster
Neurological Symptoms,Ophthalmic migraine
Procedural and Device-Related Issues,Ventilation/perfusion scan
Uncategorized,Breast induration
Procedural and Device-Related Issues,Ultrasound scan vagina
Uncategorized,Cogwheel rigidity
Uncategorized,Stupor
Uncategorized,Spinal osteoarthritis
Uncategorized,Emergency care examination
Uncategorized,Intraventricular haemorrhage
Laboratory Findings,Reflex test
Uncategorized,Myelitis
Neurological Symptoms,Gait spastic
Neurological Symptoms,Optic ischaemic neuropathy
Uncategorized,Preterm premature rupture of membranes
Uncategorized,Tongue paralysis
Uncategorized,Accidental overdose
Uncategorized,Horner's syndrome
Procedural and Device-Related Issues,Wrong technique in device usage process
ENT Symptoms,Ear neoplasm
Uncategorized,Wound
Musculoskeletal Symptoms,Inflammatory pain
Psychiatric Symptoms,Sleep deficit
Uncategorized,Office visit
Uncategorized,Dental care
Uncategorized,Cataract
Uncategorized,Aldolase
Laboratory Findings,Red blood cell sedimentation rate abnormal
Procedural and Device-Related Issues,Canalith repositioning procedure
General Symptoms,Mammogram abnormal
Uncategorized,Palpable purpura
Uncategorized,Chest wall mass
Laboratory Findings,Blood immunoglobulin A
Musculoskeletal Symptoms,Limb crushing injury
ENT Symptoms,Nasal mucosal blistering
Uncategorized,Audiogram normal
Genitourinary Symptoms,Urinary system x-ray abnormal
Uncategorized,Basophil count increased
Uncategorized,Gamma-glutamyltransferase increased
Procedural and Device-Related Issues,Dermal filler injection
Gastrointestinal Symptoms,Gastric haemorrhage
Uncategorized,Breast cyst
Uncategorized,Ammonia increased
Uncategorized,Bronchial irritation
Uncategorized,Dermatochalasis
Neurological Symptoms,Stroke in evolution
Dermatologic Symptoms,Perioral dermatitis
Uncategorized,Ruptured cerebral aneurysm
Uncategorized,Peritoneal disorder
Uncategorized,Antinuclear antibody increased
Uncategorized,Heparin-induced thrombocytopenia
Uncategorized,Posterior fossa decompression
Uncategorized,Heart valve incompetence
Cardiovascular Findings,Left atrial enlargement
Laboratory Findings,Urine osmolarity normal
Laboratory Findings,Urine sodium normal
Ophthalmologic Symptoms,Saccadic eye movement
Uncategorized,Wrist deformity
Uncategorized,Airway secretion clearance therapy
Psychiatric Symptoms,Sleep talking
Laboratory Findings,Blood creatine phosphokinase MB increased
Uncategorized,Autoantibody negative
Uncategorized,Atrioventricular block complete
Uncategorized,Chloasma
Musculoskeletal Symptoms,Amyotrophic lateral sclerosis
Cardiovascular Findings,Electrocardiogram PR interval
Cardiovascular Findings,Electrocardiogram QT interval
Cardiovascular Findings,Electrocardiogram RR interval
Uncategorized,QRS axis
Uncategorized,Extravasation
Procedural and Device-Related Issues,Ultrasound biliary tract
Uncategorized,Sitting disability
Uncategorized,Sedative therapy
Uncategorized,Hand deformity
Procedural and Device-Related Issues,Magnetic resonance imaging thoracic normal
Uncategorized,Dependence on respirator
Laboratory Findings,Helicobacter test negative
Uncategorized,Withdrawal syndrome
Uncategorized,Convalescent plasma transfusion
Laboratory Findings,Thyroid function test abnormal
Uncategorized,Frostbite
Laboratory Findings,Blood iron decreased
Procedural and Device-Related Issues,Circumstance or information capable of leading to device use error
Uncategorized,Endotracheal intubation complication
Uncategorized,Hypercapnia
Infectious Symptoms,SARS-CoV-2 RNA undetectable
Dermatologic Symptoms,Vaginal lesion
Uncategorized,Reynold's syndrome
Uncategorized,Inclusion body myositis
Procedural and Device-Related Issues,X-ray with contrast lower gastrointestinal tract
Uncategorized,Psychomotor skills impaired
Uncategorized,Eustachian tube disorder
ENT Symptoms,Middle ear inflammation
Uncategorized,Superficial vein prominence
Musculoskeletal Symptoms,Prostate tenderness
Uncategorized,Intestinal dilatation
Uncategorized,Large intestinal obstruction
Uncategorized,Inappropriate antidiuretic hormone secretion
Uncategorized,Catheterisation venous
Dermatologic Symptoms,Chemical burn of skin
Dermatologic Symptoms,Injection site thrombosis
Uncategorized,Emphysema
Cardiovascular Findings,Left atrial dilatation
Respiratory Symptoms,Pulmonary granuloma
Respiratory Symptoms,Pulmonary hilum mass
Procedural and Device-Related Issues,Face and mouth X-ray
Uncategorized,Anticonvulsant drug level therapeutic
Procedural and Device-Related Issues,Device breakage
Uncategorized,Progesterone decreased
Infectious Symptoms,Tooth infection
Procedural and Device-Related Issues,Vaccination site plaque
Musculoskeletal Symptoms,Abscess limb
Laboratory Findings,Hepatic enzyme abnormal
Uncategorized,Intestinal atony
Laboratory Findings,Blood 25-hydroxycholecalciferol
Uncategorized,Blister infected
Dermatologic Symptoms,Skin bacterial infection
Musculoskeletal Symptoms,Anti-muscle specific kinase antibody
Uncategorized,Fungal disease carrier
Uncategorized,Vitamin B6 normal
Uncategorized,Ejection fraction
Uncategorized,Spinal cord lipoma
Psychiatric Symptoms,"Hallucination, tactile"
Uncategorized,Amniorrhoea
Uncategorized,Amniotic fluid index decreased
Laboratory Findings,Amniotic membrane rupture test negative
Laboratory Findings,Amniotic membrane rupture test positive
General Symptoms,Gynaecological examination abnormal
Genitourinary Symptoms,Smear vaginal normal
Musculoskeletal Symptoms,Facet joint syndrome
Uncategorized,Vertebral foraminal stenosis
Dermatologic Symptoms,Rash scarlatiniform
Dermatologic Symptoms,White matter lesion
Uncategorized,Behcet's syndrome
Uncategorized,Intraocular pressure decreased
Neurological Symptoms,Glossopharyngeal neuralgia
Psychiatric Symptoms,Emotional poverty
Uncategorized,Chromatopsia
Uncategorized,Thromboembolectomy
Gastrointestinal Symptoms,Magnetic resonance imaging abdominal normal
Genitourinary Symptoms,Ultrasound bladder normal
Laboratory Findings,Ultrasound kidney normal
Uncategorized,Alanine aminotransferase decreased
Uncategorized,Aspartate aminotransferase decreased
Laboratory Findings,Protein albumin ratio increased
Respiratory Symptoms,Dependence on oxygen therapy
Uncategorized,Breast cancer female
Uncategorized,Haptoglobin decreased
Uncategorized,Hepatomegaly
Uncategorized,Defaecation disorder
Uncategorized,Hypereosinophilic syndrome
Uncategorized,Cramp-fasciculation syndrome
Uncategorized,Complement factor C2
Dermatologic Symptoms,Vasculitic rash
Uncategorized,Haemarthrosis
Musculoskeletal Symptoms,Humerus fracture
Uncategorized,Peripheral vein occlusion
Musculoskeletal Symptoms,Skull fracture
Uncategorized,Hepatic encephalopathy
Uncategorized,Bloody discharge
Allergic and Immune Reactions,Contrast media allergy
Cardiovascular Findings,Cardiac stress test abnormal
Procedural and Device-Related Issues,Imaging procedure abnormal
Uncategorized,Constricted affect
Laboratory Findings,Biopsy kidney
Uncategorized,Nephropathy
Laboratory Findings,Nitrite urine present
Laboratory Findings,Urine electrolytes normal
Procedural and Device-Related Issues,Gastrointestinal scan
Uncategorized,Uterine leiomyoma
Uncategorized,Decreased immune responsiveness
Laboratory Findings,Clostridium test
Uncategorized,Lower gastrointestinal haemorrhage
Uncategorized,Rhesus antigen positive
Uncategorized,Vascular cauterisation
Ophthalmologic Symptoms,Eye haematoma
Allergic and Immune Reactions,Allergy to plants
Uncategorized,Thyroid mass
Uncategorized,Base excess increased
Respiratory Symptoms,Venous oxygen partial pressure
Respiratory Symptoms,Venous oxygen saturation normal
Laboratory Findings,Blood immunoglobulin G decreased
Uncategorized,Endoscopy upper gastrointestinal tract
Procedural and Device-Related Issues,Spinal X-ray abnormal
Uncategorized,Spinal retrolisthesis
Musculoskeletal Symptoms,Urinary tract pain
Musculoskeletal Symptoms,Premenstrual pain
Genitourinary Symptoms,Vaginal discharge
Uncategorized,Ophthalmic artery thrombosis
Uncategorized,Retinal infarction
General Symptoms,Retinogram abnormal
Laboratory Findings,Angiotensin converting enzyme
Laboratory Findings,Red blood cells urine
Uncategorized,Prohormone brain natriuretic peptide increased
Uncategorized,Oscillopsia
Ophthalmologic Symptoms,Visual acuity tests normal
Uncategorized,Atrioventricular block first degree
Uncategorized,Reduced facial expression
Uncategorized,Nocturia
Procedural and Device-Related Issues,Vaccination site macule
Uncategorized,Congenital anomaly
Infectious Symptoms,Vulvovaginal mycotic infection
Uncategorized,Conjunctival irritation
Gastrointestinal Symptoms,Infrequent bowel movements
Uncategorized,Band sensation
Musculoskeletal Symptoms,Multiple sclerosis
Uncategorized,Cortisol normal
